,city,region,type_of_settlements,year,population,latitude_point,longitude_point
0,Руське Поле,zakarpat,vilage,-1303.0,6112.0,48.05638888888888,23.538333333333334
1,Жулин,lviv,vilage,-1240.0,968.0,49.17722222222222,23.773055555555555
2,Кілія,,city,-862.0,,45.4675,29.23777777777778
3,Феодосія,,city,-600.0,69145.0,45.04888888888889,35.37916666666667
4,Керч,,city,-530.0,149566.0,45.35,36.46666666666667
5,Білгород-Дністровський,,city,-498.0,,46.19222222222222,30.333333333333332
6,Євпаторія,,city,-497.0,107040.0,45.2,33.36666666666667
7,Пшеничники (Калуський район),ivan_frank,vilage,0.0,345.0,48.89694444444444,23.864722222222223
8,Тернувате (Василівський район),zaporiz,vilage,1.0,46.0,47.42638888888889,35.566944444444445
9,Шрубків,xmelnitsk,vilage,14.0,655.0,49.48916666666667,27.42527777777778
10,Потік (Івано-Франківський район),ivan_frank,vilage,19.0,697.0,49.41722222222222,24.581666666666667
11,Замостя (Вижницький район),chernivtsi,vilage,35.0,2106.0,48.35166666666667,25.421944444444446
12,Перекоп (Армянська міська рада),krym,vilage,100.0,894.0,46.16111111111111,33.69222222222222
13,Старий Крим,,city,100.0,9478.0,45.02916666666667,35.08555555555556
14,Добронадіївка,kirivigrad,vilage,100.0,824.0,48.5925,33.39222222222222
15,Дібрівка (Кропивницький район),kirivigrad,vilage,108.0,239.0,48.02444444444444,32.12638888888889
16,Лопушне (Закарпатська область),zakarpat,vilage,160.0,650.0,48.65138888888889,23.593055555555555
17,Нововасилівське (Гуляйпільський район),zaporiz,vilage,182.0,73.0,47.778055555555554,36.4325
18,Судак (місто),,city,212.0,15532.0,44.85,34.96666666666667
19,Галич,,city,260.0,6307.0,49.13944444444444,24.731666666666666
20,Алушта,,city,500.0,28295.0,44.66916666666666,34.403055555555554
21,Витачів,kyiv,vilage,500.0,945.0,50.11388888888889,30.872222222222224
22,Теребежі (Заболотцівська сільська громада),lviv,vilage,600.0,53.0,49.94888888888889,25.052222222222223
23,Залісся (Підкамінська селищна громада),lviv,vilage,600.0,90.0,49.988055555555555,25.22083333333333
